 TITLE,LastName,FirstName, SEX,Rtg_Nat
,PANOPIO,Rodolfo Jr.,,1975
,PANUELOS,Glenn Dale A.,,1832
AIM,PARADERO,Gabriel Ryan,,1928
,PATUBO,L-Mar,,1776
,PE BENITO,Anthony O.,,1944
,PELAEZ,Elijah James,,0
,PEREZ,Ilann,,1954
,PEREZ,Winson,,1817
,PINEDA,Jerwin,,1663
,PINGOL,Reynaldo,,1922
AIM,Puso,King Whisley,,1894
,RAMIREZ,Ezekiel V.,,0
,RANCAP,Kelly T.,,2163
,REBULANAN,Cheryl,F,1626
,RECOSOSA,Ryan,,1994
,REYES,Narquingel,,2148
,REYES,Mark Gerald,,2101
,Rivera,John Luis A.,,1903
,RIVERA,Richfield,,1996
AFM,ROBLES,Prince Paolo,,1899
AIM,ROJO,Jason,,1956
,ROMA,Alvin,,2059
,ROQUE,Joshua,,2050
NM,ROSAUPAN,Carlo Magno,,2039
,ROSAUPAN,Jan Lei Kian,,2022
,RUAYA,Virgen Gil C.,,2023
,RUGASAN,Noralinda,F,
AIM,SAGUBAN,Dave Trevor,,1856
,SALCEDO,Renante,,1954
,SALGADOS,Lennon Hart,,2146
,SALINAS,Roberto Jr.,,1858
,SALUBRE,Junrie,,1909
NM,SALVADOR,Louie,,2205
,SAMILLANO,Dionisio Jr.,,1773
,SAN ANTONIO,Andrew Jr. F.,,2063
,SANCHEZ,Paul,,1902
,Santiago,Princess,F,
,Santiago,Stephanie,F,
,SANTOS,Eduel,,1666
,Sarahan,Prince Neezhel,,1855
,SARZUELO,Caleb Alexandre,,1816
AGM,Sebolino,Reu Gabriel,,1900
,SEGALES,Alejandro,,1868
,SELVIDO,Franca Marie,F,1592
,SERRANO,Ariel,F,1895
,Serrano,Ariel,F,1934
AFM,SILVA,Zedric,,1913
,SIMON,John Rocel,,1949
AIM,SINGSON,Spencer,,1896
,SISTER,Rene,,1452
,SONEJA,Dante,,1780
,Soria,Marguel Jr.,,1519
,Sosa,Renz Jemuel,,1683
,SOTTO,Mark Kevin,,1798
,STA. MONICA,Antonio Jr.,,1711
,SUMAGANG,Jay-R,,1968
,Sunga,John Frederick O.,,1843
WNM,SUYAMIN,Bonjoure Fille B.,F,1945
,Sy,Asher Judd,,1983
,TABLAN,Austin Jay,,1925
,TABOR,Erwin,,1926
,Tagalan,Keinth Marc,,1674
,TALAPIAN,Teorwin,,1990
,TAPERO,Matteo Yosef,,1628
,TEJADA,Jerick,,1584
,TENDENCIA,Edwin,,1958
,TENORIO,Bernard,,1878
,Tenorio,Rian Paul,,2029
,THOMPSON,Christian Roche,,1803
,TIU,Sherwin,,2315
,Torena,Clde Jared,,1988
,Torena,Zafirah Jahly,F,1776
,TORRES,Rene,,1622
,TRASFIERO, Eugene,,1812
,TUPAS,Mark Christopher,,1752
,TUPAZ,Aldrin,,
,URSAL,Darwin,,1719
,URSAL,Kristofferson,,1900
,USI,Mc Xander,,1583
,VARGAS,Phierree Jazz,,1856
,VELARDE,Edilberto Jr.,,1956
,VILLA,Ervil M.,,1858
,VILLANUEVA,Gregorio,,1800
,VILLANUEVA,Jerome,,2230
,VILLARUZ,Andrew John A.,,1435
AFM,Wabe,Benoni,,1778
,YAMOG,Mark Lester,,1842
,YANZON,Elmer Jr.,,1864
,YANZON,Mervince,,1823
,YAP,Bernardo,,1867
,YONGCO,Joshua Michael,,2054
,ZAMORA,Mariko,,1957
,ZAMORA,Nathan Rei G.,,0
