 TITLE,LastName,FirstName, SEX,Rtg_Nat
,ABEJERO, Kholeen,F,1567
,ABEJERO, Merylle Rose,F,1770
,ABEJO, Anathalia,F,1559
,ABEJO, Gab Angelo,,1668
,ABEJO, Heinrich Rudd Jr.,,1576
,ABEJO, Paul Dylan,,1509
,ABEJO, Prince Gl,,1565
,ABEJO, Rush Gell,F,1847
,ABEJO, Seith,F,1745
,ABEJONA, Harold James,,1768
,ABEL, Kenneth,,1788
,ABEL, Ralph,,1737
,ABEL, Ronald,,1870
,ABELADA, Jan Christopher,,
,ABELADA, Khair,,1630
,ABELADO, Leonil,,1444
,ABELANA, Adriane,,
,ABELARDO, Alliah Kate,F,1580
,ABELEDA, Christelle Julienne,F,1678
,ABELEDA, Christuff Mc Kaizer F.,,
,ABELEDA, Estelito,,1401
,ABELEDA, Jan Christopher,,1763
,ABELEDA, Jhonel,,1693
,ABELEDA, Leigh Andrei,,1929
,ABELEDA, Lito,,1956
,ABELEDA, Madelaine,F,1870
,ABELEDA, Marcelo,,1892
AFM,ABELEDA, Ritchie James,,2050
,ABELEDA, Sofhia Christine Natalie,F,1783
,ABELGAS, Evegeny,F,1717
,ABELGAS, Miguel,,1887
FM,ABELGAS, Roel,,2325
NM,ABELGAS, Ruperto Jr.,,1981
,ABELIDO, Joel,,1882
,ABELINDE, Jaypee,,1708
,ABELINDE, Kathlyn Ann,F,1731
,ABELINDE, Krizza,F,1741
,ABELITA, Ygor,,1726
,ABELLA, Adrian,,
,ABELLA, Aldrin,,1891
,ABELLA, Caleb Soimon,,
,ABELLA, Chen Obadiah G.,,1634
,ABELLA, Christy Ann,F,
,ABELLA, Denster,,1898
,ABELLA, Dwayne Vin,,1871
,ABELLA, Ian Jacob,,1622
,ABELLA, Jac Emmanuel,,1765
,ABELLA, John Dave,,1750
,ABELLA, Joseph,,1845
,ABELLA, Justin Xander,,1687
,ABELLA, Karsten Zhared N.,,1663
,ABELLA, Kheriannah Shenn,F,1619
,ABELLA, Kylee Matthew,,1732
,ABELLA, Lance Matthew,,1866
,ABELLA, Lourizette Ren,F,
,ABELLA, Ma. Ysabel Nicole,F,
,ABELLA, Marvin,,1825
,ABELLA, Mekyla Grace,F,1401
,ABELLA, Niño,,1654
,ABELLA, Quimson,,1822
,ABELLA, Reynald,,
,ABELLA, Roger,,2330
,ABELLA, Ryza Arwen V.,F,
,ABELLA, Timothy Hobbes,,1677
,ABELLA, Yuan,,1640
,ABELLA, Zosimo,,1812
,ABELLANA, Aldous,,1758
,ABELLANA, Ariel Joseph R.,,2291
,ABELLANA, Athelstan,,1762
,ABELLANA, Benecito,,
,ABELLANA, Hunter,,1566
,ABELLANA, Jacob,,
,ABELLANA, Jehan Lloyd,,1682
,ABELLANA, John Clarkson,,1542
,ABELLANA, Kathreen Lara,F,
,ABELLANA, Kylie R.,,1638
,ABELLANA, Kyrie Elijah,,1685
AIM,ABELLANA, Raymond,,2022
,ABELLANA, Renecito,,1612
,ABELLANA, Twinkle,F,1871
,ABELLANOSA, Czark Evander Alexei,,1794
,ABELLANOSA, Dylan,,
,ABELLANOSA, Jeremy,,1876
,ABELLANOSA, Jhon Dawey,,
,ABELLANOSA, Vincent Jr.,,1923
,ABELLANOSA, Yhume,F,
,ABELLANOSA, Zuhriel Geoff,,
,ABELLAR, Adrianne,F,1663
,ABELLAR, Earl Stanley,,1798
,ABELLAR, Gian,,1675
,ABELLAR, Jun,,1765
,ABELLAR, Khinet,,1828
,ABELLAR, Ramonito,,
,ABELLARE, Jaisah Mae,F,1571
,ABELLERA, Aeron Phoenix,,
,ABELLERA, Christian Angelo,,1711
,ABELLERA, Naomi Adele,F,1579
,ABELLO, Amber Angelo T.,,1425
,ABELLO, Emmanuel,,1791
,ABELLO, Janrus,,1684
